Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Forecast Summary Report - All Guest/Segment Types,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,The Stamford Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page:  1 of 9,
,System Date:  06/07/2024,,,,,,,,,,,,,,,,,,,,,,05/28/2024 Through 06/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,Generated on:  06/07/2024 05:13 AM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,|------------------------------------------Rooms------------------------------------------|,,,,,,,,,,,,,,,,,,,,,,,,,|----------------------------------------------Revenues---------------------------------------------|,,,,,,,,,,,,,,,,|---------Date Range Totals---------|,,,,
,Date,,,,,,Whls,,,Trans,,,,Group,,,Comps,,,Occupied,,,Off Mk,,Occ%,,,Wholesale,,,,Individual,,,Group,,,,Total,,Avg.Rate (Sold),,,,Revenue,,Average Rate,
,2024-05-28 00:00:00,,,,,,0,,,59,,,,34,,,6,,,99,,,145,,31.1,,,0,,,,7632.89,,,4002,,,,11634.89,,117.52,,,,11634.89,,117.52,
,2024-05-29 00:00:00,,,,,,0,,,55,,,,31,,,6,,,92,,,92,,28.9,,,0,,,,7216.3,,,3627,,,,10843.3,,117.86,,,,22478.19,,117.69,
,2024-05-30 00:00:00,,,,,,0,,,44,,,,33,,,6,,,83,,,60,,26.1,,,0,,,,5494.81,,,4041,,,,9535.81,,114.89,,,,32014,,116.84,
,2024-05-31 00:00:00,,,,,,0,,,99,,,,45,,,6,,,150,,,48,,47.2,,,0,,,,15254.91,,,5655,,,,20909.91,,139.4,,,,52923.91,,124.82,
,,"May, 2024",,,,,0,,,257,,,,143,,,24,,,424,,,345,,33.3,,,,0.0,,,"35,598.91",,,"17,325.00",,,,"52,923.91",,124.82,,,,"52,923.91",,124.82,
,2024-06-01 00:00:00,,,,,,0,,,137,,,,35,,,7,,,179,,,53,,56.3,,,0,,,,22268.24,,,4681,,,,26949.24,,150.55,,,,79873.15,,132.46,
,2024-06-02 00:00:00,,,,,,0,,,49,,,,38,,,7,,,94,,,112,,29.6,,,0,,,,7366.44,,,4806,,,,12172.44,,129.49,,,,92045.59,,132.06,
,2024-06-03 00:00:00,,,,,,0,,,57,,,,42,,,8,,,107,,,63,,33.6,,,0,,,,8400.27,,,5534,,,,13934.27,,130.23,,,,105979.86,,131.82,
,2024-06-04 00:00:00,,,,,,0,,,121,,,,65,,,23,,,209,,,41,,65.7,,,0,,,,19619.12,,,9283.1,,,,28902.22,,138.29,,,,134882.08,,133.15,
,2024-06-05 00:00:00,,,,,,0,,,131,,,,82,,,9,,,222,,,35,,70,,,0,,,,21677.5,,,14819.3,,,,36496.8,,164.4,,,,171378.88,,138.77,
,2024-06-06 00:00:00,,,,,,0,,,69,,,,42,,,9,,,120,,,107,,37.9,,,0,,,,8932.65,,,5857.1,,,,14789.75,,123.25,,,,186168.63,,137.39,
,2024-06-07 00:00:00,,,,,,0,,,98,,,,31,,,19,,,148,,,25,,46.7,,,0,,,,14902.42,,,3792,,,,18694.42,,126.31,,,,204863.05,,136.3,
,2024-06-08 00:00:00,,,,,,0,,,107,,,,28,,,8,,,143,,,25,,45.1,,,0,,,,16006.3,,,3372,,,,19378.3,,135.51,,,,224241.35,,136.23,
,2024-06-09 00:00:00,,,,,,0,,,43,,,,32,,,7,,,82,,,25,,25.9,,,0,,,,5825.6,,,3792,,,,9617.6,,117.29,,,,233858.95,,135.34,
,2024-06-10 00:00:00,,,,,,0,,,50,,,,15,,,7,,,72,,,25,,22.7,,,0,,,,6984.47,,,2385,,,,9369.47,,130.13,,,,243228.42,,135.13,
,2024-06-11 00:00:00,,,,,,0,,,65,,,,69,,,7,,,141,,,25,,44.5,,,0,,,,9456.13,,,9675,,,,19131.13,,135.68,,,,262359.55,,135.17,
,2024-06-12 00:00:00,,,,,,0,,,66,,,,40,,,6,,,112,,,23,,35.3,,,0,,,,10326.15,,,5064,,,,15390.15,,137.41,,,,277749.7,,135.29,
,2024-06-13 00:00:00,,,,,,0,,,47,,,,32,,,6,,,85,,,23,,26.8,,,0,,,,7151.02,,,3792,,,,10943.02,,128.74,,,,288692.72,,135.03,
,2024-06-14 00:00:00,,,,,,0,,,67,,,,32,,,6,,,105,,,22,,33.1,,,0,,,,11899.52,,,3792,,,,15691.52,,149.44,,,,304384.24,,135.7,
,2024-06-15 00:00:00,,,,,,0,,,79,,,,28,,,6,,,113,,,22,,35.6,,,0,,,,13856.09,,,3372,,,,17228.09,,152.46,,,,321612.33,,136.51,
,2024-06-16 00:00:00,,,,,,0,,,25,,,,52,,,8,,,85,,,22,,26.8,,,0,,,,2902.78,,,6213,,,,9115.78,,107.24,,,,330728.11,,135.49,
,2024-06-17 00:00:00,,,,,,0,,,24,,,,32,,,7,,,63,,,22,,19.9,,,0,,,,2914.8,,,3633,,,,6547.8,,103.93,,,,337275.91,,134.69,
,2024-06-18 00:00:00,,,,,,0,,,30,,,,32,,,7,,,69,,,22,,21.8,,,0,,,,3872.14,,,3633,,,,7505.14,,108.77,,,,344781.05,,134,
,2024-06-19 00:00:00,,,,,,0,,,34,,,,32,,,7,,,73,,,22,,23,,,0,,,,4482.5,,,3633,,,,8115.5,,111.17,,,,352896.55,,133.37,
,2024-06-20 00:00:00,,,,,,0,,,35,,,,32,,,7,,,74,,,22,,23.3,,,0,,,,4508.79,,,3633,,,,8141.79,,110.02,,,,361038.34,,132.73,
,2024-06-21 00:00:00,,,,,,0,,,43,,,,32,,,5,,,80,,,22,,25.2,,,0,,,,6294.44,,,3633,,,,9927.44,,124.09,,,,370965.78,,132.49,
,2024-06-22 00:00:00,,,,,,0,,,37,,,,28,,,5,,,70,,,22,,22.1,,,0,,,,5388.67,,,3213,,,,8601.67,,122.88,,,,379567.45,,132.25,
,2024-06-23 00:00:00,,,,,,0,,,20,,,,32,,,5,,,57,,,22,,18,,,0,,,,2221.82,,,3633,,,,5854.82,,102.72,,,,385422.27,,131.68,
